chartSource,songRank,songName,songArtist,songStreams
Spotify,156,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,5568069
Spotify,157,Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",5511253
Spotify,158,VOCE,Madame,5510906
Spotify,159,Every Breath You Take,The Police,5504655
Spotify,160,my ex's best friend (with blackbear),Machine Gun Kelly,5488761
Spotify,161,AP - Music from the film Boogie,Pop Smoke,5462333
Spotify,162,Ponte Pa' Mi,Justin Quiles,5447035
Spotify,163,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",5446783
Spotify,164,I Feel It Coming,"The Weeknd, Daft Punk",5425069
Spotify,165,All We Got (feat. KIDDO),Robin Schulz,5408811
Spotify,166,Life's A Mess II (with Clever & Post Malone),Juice WRLD,5393459
Spotify,167,Tusa,"KAROL G, Nicki Minaj",5367785
Spotify,168,Yellow,Coldplay,5366911
Spotify,169,Love Not War (The Tampa Beat),"Jason Derulo, Nuka",5341032
Spotify,170,CHIAMAMI PER NOME,"Francesca Michielin, Fedez",5321946
Spotify,171,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",5319908
Spotify,172,Counting Stars,OneRepublic,5307685
Spotify,173,Antes,"Anuel AA, Ozuna",5232377
Spotify,174,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,5215498
Spotify,175,Mona Lisa,"Booba, JSX",5208787
Spotify,176,hot girl bummer,blackbear,5195767
Spotify,177,Mood Swings (feat. Lil Tjay),Pop Smoke,5192184
Spotify,178,Closer,"The Chainsmokers, Halsey",5189732
Spotify,179,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,5174857
Spotify,180,Real As It Gets (feat. EST Gee),Lil Baby,5170861
Spotify,181,everything i wanted,Billie Eilish,5169457
Spotify,182,Se Te Nota (with Guaynaa),Lele Pons,5168240
Spotify,183,PROBLEMA,Daddy Yankee,5158042
Spotify,184,Devil Eyes,Hippie Sabotage,5149459
Spotify,185,Riptide,Vance Joy,5137402
Spotify,186,Fan de Tus Fotos,"Nicky Jam, Romeo Santos",5135472
Spotify,187,Smells Like Teen Spirit,Nirvana,5131040
Spotify,188,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",5113513
Spotify,189,What Other People Say,"Sam Fischer, Demi Lovato",5112962
Spotify,190,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",5093408
Spotify,191,Another One Bites The Dust - Remastered 2011,Queen,5089851
Spotify,192,when the party's over,Billie Eilish,5079501
Spotify,193,Stressed Out,Twenty One Pilots,5078501
Spotify,194,The Less I Know The Better,Tame Impala,5075333
Spotify,195,Star Shopping,Lil Peep,5073657
Spotify,196,Electric Love,BØRNS,5060903
Spotify,197,Someone To You,BANNERS,5055103
Spotify,198,Hope,XXXTENTACION,5053761
Spotify,199,Maniac,Conan Gray,5044929
Spotify,200,How You Like That,BLACKPINK,5020872
Spotify,1,drivers license,Olivia Rodrigo,37066956
Spotify,2,Save Your Tears,The Weeknd,28677819
Spotify,3,Blinding Lights,The Weeknd,24332884
Spotify,4,DÁKITI,"Bad Bunny, Jhay Cortez",23528044
Spotify,5,Calling My Phone,"Lil Tjay, 6LACK",22238369
Spotify,6,telepatía,Kali Uchis,21709859
Spotify,7,Astronaut In The Ocean,Masked Wolf,21539855
Spotify,8,Bandido,"Myke Towers, Juhn",19461380
Spotify,9,The Business,Tiësto,18774926
Spotify,10,Mood (feat. iann dior),24kGoldn,18761296
Spotify,11,WITHOUT YOU,The Kid LAROI,18127160
Spotify,12,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",17444896
Spotify,13,Streets,Doja Cat,16994411
Spotify,14,Up,Cardi B,15509202
Spotify,15,Good Days,SZA,15440345
Spotify,16,Levitating (feat. DaBaby),Dua Lipa,15275359
Spotify,17,Whoopty,CJ,15055253
Spotify,18,BICHOTA,KAROL G,14825636
Spotify,19,Dynamite,BTS,14668198
Spotify,20,Heartbreak Anniversary,Giveon,14624014
Spotify,21,Baila Conmigo (with Rauw Alejandro),Selena Gomez,14605251
Spotify,22,positions,Ariana Grande,14440208
Spotify,23,34+35,Ariana Grande,14095564
Spotify,24,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",13705852
Spotify,25,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,13490563
Spotify,26,Hecha Pa' Mi,Boza,13099823
Spotify,27,We're Good,Dua Lipa,12615725
Spotify,28,Paradise (feat. Dermot Kennedy),MEDUZA,12545244
Spotify,29,Someone You Loved,Lewis Capaldi,12450565
Spotify,30,Anyone,Justin Bieber,12389524
Spotify,31,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,12050820
Spotify,32,you broke me first,Tate McRae,11963861
Spotify,33,Heat Waves,Glass Animals,11950261
Spotify,34,What You Know Bout Love,Pop Smoke,11919251
Spotify,35,Goosebumps - Remix,"Travis Scott, HVME",11707715
Spotify,36,Watermelon Sugar,Harry Styles,11556311
Spotify,37,Arcade,Duncan Laurence,11556122
Spotify,38,Head & Heart (feat. MNEK),Joel Corry,11438734
Spotify,39,Your Love (9PM),"ATB, Topic, A7S",11320162
Spotify,40,Therefore I Am,Billie Eilish,11229735
Spotify,41,GIRL LIKE ME,"Black Eyed Peas, Shakira",10891637
Spotify,42,ROCKSTAR (feat. Roddy Ricch),DaBaby,10883445
Spotify,43,Prisoner (feat. Dua Lipa),Miley Cyrus,10598755
Spotify,44,Hawái,Maluma,10377527
Spotify,45,Dance Monkey,Tones And I,10271723
Spotify,46,Sweater Weather,The Neighbourhood,10209311
Spotify,47,WAP (feat. Megan Thee Stallion),Cardi B,10097480
Spotify,48,Reloj,"Rauw Alejandro, Anuel AA",10083912
